# query|compound|entity
5-MeO-DiPT Methamphetamine use disorder treatment outcome|5-MeO-DiPT|Methamphetamine use disorder
5-MeO-DiPT Stimulant use disorder clinical trial|5-MeO-DiPT|Stimulant use disorder
5-MeO-DiPT Stimulant use disorder randomized placebo|5-MeO-DiPT|Stimulant use disorder
5-MeO-DiPT Stimulant use disorder treatment outcome|5-MeO-DiPT|Stimulant use disorder
5-MeO-DiPT Substance use disorder clinical trial|5-MeO-DiPT|Substance use disorder
5-MeO-DiPT Substance use disorder randomized placebo|5-MeO-DiPT|Substance use disorder
5-MeO-DiPT Substance use disorder treatment outcome|5-MeO-DiPT|Substance use disorder
5-MeO-DiPT Generalized anxiety disorder clinical trial|5-MeO-DiPT|Generalized anxiety disorder
5-MeO-DiPT Generalized anxiety disorder randomized placebo|5-MeO-DiPT|Generalized anxiety disorder
5-MeO-DiPT Generalized anxiety disorder treatment outcome|5-MeO-DiPT|Generalized anxiety disorder
5-MeO-DiPT Social anxiety disorder clinical trial|5-MeO-DiPT|Social anxiety disorder
5-MeO-DiPT Social anxiety disorder randomized placebo|5-MeO-DiPT|Social anxiety disorder
5-MeO-DiPT Social anxiety disorder treatment outcome|5-MeO-DiPT|Social anxiety disorder
5-MeO-DiPT Distress associated with life-threatening disease clinical trial|5-MeO-DiPT|Distress associated with life-threatening disease
5-MeO-DiPT Distress associated with life-threatening disease randomized placebo|5-MeO-DiPT|Distress associated with life-threatening disease
5-MeO-DiPT Distress associated with life-threatening disease treatment outcome|5-MeO-DiPT|Distress associated with life-threatening disease
5-MeO-DiPT Obsessive-compulsive disorder clinical trial|5-MeO-DiPT|Obsessive-compulsive disorder
5-MeO-DiPT Obsessive-compulsive disorder randomized placebo|5-MeO-DiPT|Obsessive-compulsive disorder
5-MeO-DiPT Obsessive-compulsive disorder treatment outcome|5-MeO-DiPT|Obsessive-compulsive disorder
5-MeO-DiPT Eating disorders clinical trial|5-MeO-DiPT|Eating disorders
5-MeO-DiPT Eating disorders randomized placebo|5-MeO-DiPT|Eating disorders
5-MeO-DiPT Eating disorders treatment outcome|5-MeO-DiPT|Eating disorders
5-MeO-DiPT Anorexia nervosa clinical trial|5-MeO-DiPT|Anorexia nervosa
5-MeO-DiPT Anorexia nervosa randomized placebo|5-MeO-DiPT|Anorexia nervosa
5-MeO-DiPT Anorexia nervosa treatment outcome|5-MeO-DiPT|Anorexia nervosa
5-MeO-DiPT Bulimia nervosa clinical trial|5-MeO-DiPT|Bulimia nervosa
5-MeO-DiPT Bulimia nervosa randomized placebo|5-MeO-DiPT|Bulimia nervosa
5-MeO-DiPT Bulimia nervosa treatment outcome|5-MeO-DiPT|Bulimia nervosa
5-MeO-DiPT Binge-eating disorder clinical trial|5-MeO-DiPT|Binge-eating disorder
5-MeO-DiPT Binge-eating disorder randomized placebo|5-MeO-DiPT|Binge-eating disorder
5-MeO-DiPT Binge-eating disorder treatment outcome|5-MeO-DiPT|Binge-eating disorder
5-MeO-DiPT Autism spectrum disorder clinical trial|5-MeO-DiPT|Autism spectrum disorder
5-MeO-DiPT Autism spectrum disorder randomized placebo|5-MeO-DiPT|Autism spectrum disorder
5-MeO-DiPT Autism spectrum disorder treatment outcome|5-MeO-DiPT|Autism spectrum disorder
5-MeO-DiPT Demoralization clinical trial|5-MeO-DiPT|Demoralization
5-MeO-DiPT Demoralization randomized placebo|5-MeO-DiPT|Demoralization
5-MeO-DiPT Demoralization treatment outcome|5-MeO-DiPT|Demoralization
5-MeO-DiPT Suicidal ideation clinical trial|5-MeO-DiPT|Suicidal ideation
5-MeO-DiPT Suicidal ideation randomized placebo|5-MeO-DiPT|Suicidal ideation
5-MeO-DiPT Suicidal ideation treatment outcome|5-MeO-DiPT|Suicidal ideation
5-MeO-DiPT Cluster headache clinical trial|5-MeO-DiPT|Cluster headache
5-MeO-DiPT Cluster headache randomized placebo|5-MeO-DiPT|Cluster headache
5-MeO-DiPT Cluster headache treatment outcome|5-MeO-DiPT|Cluster headache
5-MeO-DiPT Headache disorders clinical trial|5-MeO-DiPT|Headache disorders
5-MeO-DiPT Headache disorders randomized placebo|5-MeO-DiPT|Headache disorders
5-MeO-DiPT Headache disorders treatment outcome|5-MeO-DiPT|Headache disorders
5-MeO-DiPT Migraine clinical trial|5-MeO-DiPT|Migraine
5-MeO-DiPT Migraine randomized placebo|5-MeO-DiPT|Migraine
5-MeO-DiPT Migraine treatment outcome|5-MeO-DiPT|Migraine
5-MeO-DiPT Chronic pain clinical trial|5-MeO-DiPT|Chronic pain
5-MeO-DiPT Chronic pain randomized placebo|5-MeO-DiPT|Chronic pain
5-MeO-DiPT Chronic pain treatment outcome|5-MeO-DiPT|Chronic pain
5-MeO-DiPT Fibromyalgia clinical trial|5-MeO-DiPT|Fibromyalgia
5-MeO-DiPT Fibromyalgia randomized placebo|5-MeO-DiPT|Fibromyalgia
5-MeO-DiPT Fibromyalgia treatment outcome|5-MeO-DiPT|Fibromyalgia
DiPT Treatment-resistant depression clinical trial|DiPT|Treatment-resistant depression
DiPT Treatment-resistant depression randomized placebo|DiPT|Treatment-resistant depression
DiPT Treatment-resistant depression treatment outcome|DiPT|Treatment-resistant depression
DiPT Major depressive disorder clinical trial|DiPT|Major depressive disorder
DiPT Major depressive disorder randomized placebo|DiPT|Major depressive disorder
DiPT Major depressive disorder treatment outcome|DiPT|Major depressive disorder
DiPT Bipolar depression clinical trial|DiPT|Bipolar depression
DiPT Bipolar depression randomized placebo|DiPT|Bipolar depression
DiPT Bipolar depression treatment outcome|DiPT|Bipolar depression
DiPT Persistent depressive disorder clinical trial|DiPT|Persistent depressive disorder
DiPT Persistent depressive disorder randomized placebo|DiPT|Persistent depressive disorder
DiPT Persistent depressive disorder treatment outcome|DiPT|Persistent depressive disorder
DiPT Post-traumatic stress disorder clinical trial|DiPT|Post-traumatic stress disorder
DiPT Post-traumatic stress disorder randomized placebo|DiPT|Post-traumatic stress disorder
DiPT Post-traumatic stress disorder treatment outcome|DiPT|Post-traumatic stress disorder
DiPT Complex post-traumatic stress disorder clinical trial|DiPT|Complex post-traumatic stress disorder
DiPT Complex post-traumatic stress disorder randomized placebo|DiPT|Complex post-traumatic stress disorder
DiPT Complex post-traumatic stress disorder treatment outcome|DiPT|Complex post-traumatic stress disorder
DiPT Alcohol use disorder clinical trial|DiPT|Alcohol use disorder
DiPT Alcohol use disorder randomized placebo|DiPT|Alcohol use disorder
DiPT Alcohol use disorder treatment outcome|DiPT|Alcohol use disorder
DiPT Tobacco use disorder clinical trial|DiPT|Tobacco use disorder
DiPT Tobacco use disorder randomized placebo|DiPT|Tobacco use disorder
DiPT Tobacco use disorder treatment outcome|DiPT|Tobacco use disorder
DiPT Nicotine dependence clinical trial|DiPT|Nicotine dependence
DiPT Nicotine dependence randomized placebo|DiPT|Nicotine dependence
DiPT Nicotine dependence treatment outcome|DiPT|Nicotine dependence
DiPT Opioid use disorder clinical trial|DiPT|Opioid use disorder
DiPT Opioid use disorder randomized placebo|DiPT|Opioid use disorder
DiPT Opioid use disorder treatment outcome|DiPT|Opioid use disorder
DiPT Cannabis use disorder clinical trial|DiPT|Cannabis use disorder
DiPT Cannabis use disorder randomized placebo|DiPT|Cannabis use disorder
DiPT Cannabis use disorder treatment outcome|DiPT|Cannabis use disorder
DiPT Cocaine use disorder clinical trial|DiPT|Cocaine use disorder
DiPT Cocaine use disorder randomized placebo|DiPT|Cocaine use disorder
DiPT Cocaine use disorder treatment outcome|DiPT|Cocaine use disorder
DiPT Methamphetamine use disorder clinical trial|DiPT|Methamphetamine use disorder
DiPT Methamphetamine use disorder randomized placebo|DiPT|Methamphetamine use disorder
DiPT Methamphetamine use disorder treatment outcome|DiPT|Methamphetamine use disorder
DiPT Stimulant use disorder clinical trial|DiPT|Stimulant use disorder
DiPT Stimulant use disorder randomized placebo|DiPT|Stimulant use disorder
DiPT Stimulant use disorder treatment outcome|DiPT|Stimulant use disorder
DiPT Substance use disorder clinical trial|DiPT|Substance use disorder
DiPT Substance use disorder randomized placebo|DiPT|Substance use disorder
DiPT Substance use disorder treatment outcome|DiPT|Substance use disorder
DiPT Generalized anxiety disorder clinical trial|DiPT|Generalized anxiety disorder
DiPT Generalized anxiety disorder randomized placebo|DiPT|Generalized anxiety disorder
DiPT Generalized anxiety disorder treatment outcome|DiPT|Generalized anxiety disorder
DiPT Social anxiety disorder clinical trial|DiPT|Social anxiety disorder
DiPT Social anxiety disorder randomized placebo|DiPT|Social anxiety disorder
DiPT Social anxiety disorder treatment outcome|DiPT|Social anxiety disorder
DiPT Distress associated with life-threatening disease clinical trial|DiPT|Distress associated with life-threatening disease
DiPT Distress associated with life-threatening disease randomized placebo|DiPT|Distress associated with life-threatening disease
DiPT Distress associated with life-threatening disease treatment outcome|DiPT|Distress associated with life-threatening disease
DiPT Obsessive-compulsive disorder clinical trial|DiPT|Obsessive-compulsive disorder
DiPT Obsessive-compulsive disorder randomized placebo|DiPT|Obsessive-compulsive disorder
DiPT Obsessive-compulsive disorder treatment outcome|DiPT|Obsessive-compulsive disorder
DiPT Eating disorders clinical trial|DiPT|Eating disorders
DiPT Eating disorders randomized placebo|DiPT|Eating disorders
DiPT Eating disorders treatment outcome|DiPT|Eating disorders
DiPT Anorexia nervosa clinical trial|DiPT|Anorexia nervosa
DiPT Anorexia nervosa randomized placebo|DiPT|Anorexia nervosa
DiPT Anorexia nervosa treatment outcome|DiPT|Anorexia nervosa
DiPT Bulimia nervosa clinical trial|DiPT|Bulimia nervosa
DiPT Bulimia nervosa randomized placebo|DiPT|Bulimia nervosa
DiPT Bulimia nervosa treatment outcome|DiPT|Bulimia nervosa
DiPT Binge-eating disorder clinical trial|DiPT|Binge-eating disorder
DiPT Binge-eating disorder randomized placebo|DiPT|Binge-eating disorder
DiPT Binge-eating disorder treatment outcome|DiPT|Binge-eating disorder
DiPT Autism spectrum disorder clinical trial|DiPT|Autism spectrum disorder
DiPT Autism spectrum disorder randomized placebo|DiPT|Autism spectrum disorder
DiPT Autism spectrum disorder treatment outcome|DiPT|Autism spectrum disorder
DiPT Demoralization clinical trial|DiPT|Demoralization
DiPT Demoralization randomized placebo|DiPT|Demoralization
DiPT Demoralization treatment outcome|DiPT|Demoralization
DiPT Suicidal ideation clinical trial|DiPT|Suicidal ideation
DiPT Suicidal ideation randomized placebo|DiPT|Suicidal ideation
DiPT Suicidal ideation treatment outcome|DiPT|Suicidal ideation
DiPT Cluster headache clinical trial|DiPT|Cluster headache
DiPT Cluster headache randomized placebo|DiPT|Cluster headache
DiPT Cluster headache treatment outcome|DiPT|Cluster headache
DiPT Headache disorders clinical trial|DiPT|Headache disorders
DiPT Headache disorders randomized placebo|DiPT|Headache disorders
DiPT Headache disorders treatment outcome|DiPT|Headache disorders
DiPT Migraine clinical trial|DiPT|Migraine
DiPT Migraine randomized placebo|DiPT|Migraine
DiPT Migraine treatment outcome|DiPT|Migraine
DiPT Chronic pain clinical trial|DiPT|Chronic pain
DiPT Chronic pain randomized placebo|DiPT|Chronic pain
DiPT Chronic pain treatment outcome|DiPT|Chronic pain
DiPT Fibromyalgia clinical trial|DiPT|Fibromyalgia
DiPT Fibromyalgia randomized placebo|DiPT|Fibromyalgia
DiPT Fibromyalgia treatment outcome|DiPT|Fibromyalgia
DPT Treatment-resistant depression clinical trial|DPT|Treatment-resistant depression
DPT Treatment-resistant depression randomized placebo|DPT|Treatment-resistant depression
DPT Treatment-resistant depression treatment outcome|DPT|Treatment-resistant depression
DPT Major depressive disorder clinical trial|DPT|Major depressive disorder
DPT Major depressive disorder randomized placebo|DPT|Major depressive disorder
DPT Major depressive disorder treatment outcome|DPT|Major depressive disorder
DPT Bipolar depression clinical trial|DPT|Bipolar depression
DPT Bipolar depression randomized placebo|DPT|Bipolar depression
DPT Bipolar depression treatment outcome|DPT|Bipolar depression
DPT Persistent depressive disorder clinical trial|DPT|Persistent depressive disorder
DPT Persistent depressive disorder randomized placebo|DPT|Persistent depressive disorder
DPT Persistent depressive disorder treatment outcome|DPT|Persistent depressive disorder
DPT Post-traumatic stress disorder clinical trial|DPT|Post-traumatic stress disorder
DPT Post-traumatic stress disorder randomized placebo|DPT|Post-traumatic stress disorder
DPT Post-traumatic stress disorder treatment outcome|DPT|Post-traumatic stress disorder
DPT Complex post-traumatic stress disorder clinical trial|DPT|Complex post-traumatic stress disorder
DPT Complex post-traumatic stress disorder randomized placebo|DPT|Complex post-traumatic stress disorder
DPT Complex post-traumatic stress disorder treatment outcome|DPT|Complex post-traumatic stress disorder
DPT Alcohol use disorder clinical trial|DPT|Alcohol use disorder
DPT Alcohol use disorder randomized placebo|DPT|Alcohol use disorder
DPT Alcohol use disorder treatment outcome|DPT|Alcohol use disorder
DPT Tobacco use disorder clinical trial|DPT|Tobacco use disorder
DPT Tobacco use disorder randomized placebo|DPT|Tobacco use disorder
DPT Tobacco use disorder treatment outcome|DPT|Tobacco use disorder
DPT Nicotine dependence clinical trial|DPT|Nicotine dependence
DPT Nicotine dependence randomized placebo|DPT|Nicotine dependence
DPT Nicotine dependence treatment outcome|DPT|Nicotine dependence
DPT Opioid use disorder clinical trial|DPT|Opioid use disorder
DPT Opioid use disorder randomized placebo|DPT|Opioid use disorder
DPT Opioid use disorder treatment outcome|DPT|Opioid use disorder
DPT Cannabis use disorder clinical trial|DPT|Cannabis use disorder
DPT Cannabis use disorder randomized placebo|DPT|Cannabis use disorder
DPT Cannabis use disorder treatment outcome|DPT|Cannabis use disorder
DPT Cocaine use disorder clinical trial|DPT|Cocaine use disorder
DPT Cocaine use disorder randomized placebo|DPT|Cocaine use disorder
DPT Cocaine use disorder treatment outcome|DPT|Cocaine use disorder
DPT Methamphetamine use disorder clinical trial|DPT|Methamphetamine use disorder
DPT Methamphetamine use disorder randomized placebo|DPT|Methamphetamine use disorder
DPT Methamphetamine use disorder treatment outcome|DPT|Methamphetamine use disorder
DPT Stimulant use disorder clinical trial|DPT|Stimulant use disorder
DPT Stimulant use disorder randomized placebo|DPT|Stimulant use disorder
DPT Stimulant use disorder treatment outcome|DPT|Stimulant use disorder
DPT Substance use disorder clinical trial|DPT|Substance use disorder
DPT Substance use disorder randomized placebo|DPT|Substance use disorder
DPT Substance use disorder treatment outcome|DPT|Substance use disorder
DPT Generalized anxiety disorder clinical trial|DPT|Generalized anxiety disorder
DPT Generalized anxiety disorder randomized placebo|DPT|Generalized anxiety disorder
DPT Generalized anxiety disorder treatment outcome|DPT|Generalized anxiety disorder
DPT Social anxiety disorder clinical trial|DPT|Social anxiety disorder
DPT Social anxiety disorder randomized placebo|DPT|Social anxiety disorder
DPT Social anxiety disorder treatment outcome|DPT|Social anxiety disorder
DPT Distress associated with life-threatening disease clinical trial|DPT|Distress associated with life-threatening disease
DPT Distress associated with life-threatening disease randomized placebo|DPT|Distress associated with life-threatening disease
DPT Distress associated with life-threatening disease treatment outcome|DPT|Distress associated with life-threatening disease
DPT Obsessive-compulsive disorder clinical trial|DPT|Obsessive-compulsive disorder
DPT Obsessive-compulsive disorder randomized placebo|DPT|Obsessive-compulsive disorder
DPT Obsessive-compulsive disorder treatment outcome|DPT|Obsessive-compulsive disorder
DPT Eating disorders clinical trial|DPT|Eating disorders
DPT Eating disorders randomized placebo|DPT|Eating disorders
DPT Eating disorders treatment outcome|DPT|Eating disorders
DPT Anorexia nervosa clinical trial|DPT|Anorexia nervosa
DPT Anorexia nervosa randomized placebo|DPT|Anorexia nervosa
DPT Anorexia nervosa treatment outcome|DPT|Anorexia nervosa
DPT Bulimia nervosa clinical trial|DPT|Bulimia nervosa
DPT Bulimia nervosa randomized placebo|DPT|Bulimia nervosa
DPT Bulimia nervosa treatment outcome|DPT|Bulimia nervosa
DPT Binge-eating disorder clinical trial|DPT|Binge-eating disorder
DPT Binge-eating disorder randomized placebo|DPT|Binge-eating disorder
DPT Binge-eating disorder treatment outcome|DPT|Binge-eating disorder
DPT Autism spectrum disorder clinical trial|DPT|Autism spectrum disorder
DPT Autism spectrum disorder randomized placebo|DPT|Autism spectrum disorder
DPT Autism spectrum disorder treatment outcome|DPT|Autism spectrum disorder
DPT Demoralization clinical trial|DPT|Demoralization
DPT Demoralization randomized placebo|DPT|Demoralization
